date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:28	28405/28405	---MCZ	200	added ('OK')	text/html	etag:W/%22a8becc240523907825f486229f5ad770%22	https://preview.codecanyon.net/item/chat-application-codeigniter-socketio-nodejs/full_screen_preview/20061969?_ga=2.68195351.729600520.1538386023-1749103103.1538386023	C:/xampp/htdocs/cichat/chat/preview.codecanyon.net/item/chat-application-codeigniter-socketio-nodejs/full_screen_preview/2006196936d9.html	(from )
19:25:28	0/0	---M--	200	added ('OK')	text/plain	etag:%225bb1b14d-0%22	https://preview.codecanyon.net/robots.txt		(from )
19:25:29	189774/189774	---MCZ	200	added ('OK')	text/css	date:Fri,%2014%20Sep%202018%2002:05:26%20GMT	https://public-assets.envato-static.com/assets/market/core/index-35c302a3c436a185d3d399777264fd126429e5b98f02e9ac860a49b749fb57ae.css	C:/xampp/htdocs/cichat/chat/public-assets.envato-static.com/assets/market/core/index-35c302a3c436a185d3d399777264fd126429e5b98f02e9ac860a49b749fb57ae.css	(from https://preview.codecanyon.net/item/chat-application-codeigniter-socketio-nodejs/full_screen_preview/20061969?_ga=2.68195351.729600520.1538386023-1749103103.1538386023)
19:25:29	1977/1977	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jun%202018%2001:30:30%20GMT	https://public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	C:/xampp/htdocs/cichat/chat/public-assets.envato-static.com/assets/market/pages/preview/index-004d35cdd5d555cdd3e956d1b916825642de06529f0fe91fd9f390813761d2fc.css	(from https://preview.codecanyon.net/item/chat-application-codeigniter-socketio-nodejs/full_screen_preview/20061969?_ga=2.68195351.729600520.1538386023-1749103103.1538386023)
19:25:29	2782/2782	---M--	200	added ('OK')	image/png	etag:%229a7fbd1bf1195dfb4c9ec6cc26fe277f%22	https://public-assets.envato-static.com/icons/codecanyon.net/apple-touch-icon-72x72-precomposed.png	C:/xampp/htdocs/cichat/chat/public-assets.envato-static.com/icons/codecanyon.net/apple-touch-icon-72x72-precomposed.png	(from https://preview.codecanyon.net/item/chat-application-codeigniter-socketio-nodejs/full_screen_preview/20061969?_ga=2.68195351.729600520.1538386023-1749103103.1538386023)
19:25:29	5856/5856	---M--	200	added ('OK')	image/png	etag:%22e38ae0192345aa07a18c766bad14e800%22	https://public-assets.envato-static.com/icons/codecanyon.net/apple-touch-icon-114x114-precomposed.png	C:/xampp/htdocs/cichat/chat/public-assets.envato-static.com/icons/codecanyon.net/apple-touch-icon-114x114-precomposed.png	(from https://preview.codecanyon.net/item/chat-application-codeigniter-socketio-nodejs/full_screen_preview/20061969?_ga=2.68195351.729600520.1538386023-1749103103.1538386023)
19:25:30	7897/7897	---M--	200	added ('OK')	image/png	etag:%22e954d9547f8ce2fda99aaadc9bcb253f%22	https://public-assets.envato-static.com/icons/codecanyon.net/apple-touch-icon-144x144-precomposed.png	C:/xampp/htdocs/cichat/chat/public-assets.envato-static.com/icons/codecanyon.net/apple-touch-icon-144x144-precomposed.png	(from https://preview.codecanyon.net/item/chat-application-codeigniter-socketio-nodejs/full_screen_preview/20061969?_ga=2.68195351.729600520.1538386023-1749103103.1538386023)
19:25:30	7897/7897	---M--	200	added ('OK')	image/png	etag:%22e954d9547f8ce2fda99aaadc9bcb253f%22	https://public-assets.envato-static.com/icons/codecanyon.net/apple-touch-icon-precomposed.png	C:/xampp/htdocs/cichat/chat/public-assets.envato-static.com/icons/codecanyon.net/apple-touch-icon-precomposed.png	(from https://preview.codecanyon.net/item/chat-application-codeigniter-socketio-nodejs/full_screen_preview/20061969?_ga=2.68195351.729600520.1538386023-1749103103.1538386023)
19:25:30	132882/132882	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2007%20Sep%202018%2004:23:42%20GMT	https://public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-58946df87e9876e43df3b356958c61872794777f3aed5f8ff743428fbb717696.js	C:/xampp/htdocs/cichat/chat/public-assets.envato-static.com/assets/market/pages/full_screen_preview/index-58946df87e9876e43df3b356958c61872794777f3aed5f8ff743428fbb717696.js	(from https://preview.codecanyon.net/item/chat-application-codeigniter-socketio-nodejs/full_screen_preview/20061969?_ga=2.68195351.729600520.1538386023-1749103103.1538386023)
19:25:33	39695/39695	---MC-	200	added ('OK')	text/javascript	date:Thu,%2013%20Sep%202018%2023:12:19%20GMT	http://www.google-analytics.com/analytics.js	C:/xampp/htdocs/cichat/chat/www.google-analytics.com/analytics.js	(from https://preview.codecanyon.net/item/chat-application-codeigniter-socketio-nodejs/full_screen_preview/20061969?_ga=2.68195351.729600520.1538386023-1749103103.1538386023)
